evento_risco_id,transacao_id,score_risco,nivel_risco,regra_acionada,decisao,data_hora_evento,detalhes
dc09681d-dfc8-46b2-b6fc-b403843f4c57,92e1f430-7dbf-4a4c-a62e-9a94b8949ecc,92.41,ALTO,LOCALIZACAO_DIVERGENTE,BLOQUEAR,2026-07-16T10:20:55,Exercitationem accusantium molestiae nostrum cumque laudantium nam.
bb9eb669-a67b-409a-9790-61063fc3d7fd,ee60b27a-140f-4aa7-a989-e3fc90e23189,19.68,BAIXO,VALOR_ATIPICO,REVISAR,2026-03-18T20:29:12,Hic veniam excepturi occaecati alias.
0e8bc0e5-f362-4556-aa6b-6c9fdcec9a7b,cb630c3c-1fac-4b07-805f-d2d077da02e7,8.46,BAIXO,LOCALIZACAO_DIVERGENTE,BLOQUEAR,2026-07-21T02:04:56,Voluptatum aliquid itaque deleniti dolorem quisquam excepturi.
0d4207db-eb2d-4889-aa22-83b1422f53f1,114038c5-de40-44ea-9fca-0763efa54135,21.22,BAIXO,MULTIPLAS_TENTATIVAS,APROVAR,2026-02-15T05:59:03,Soluta commodi incidunt hic.
6f461365-0fe8-4474-8c30-0cd2d5b8d66c,ca0239e1-7e15-4b1b-bf49-68d40d8f6e4d,61.98,MEDIO,MULTIPLAS_TENTATIVAS,APROVAR,2026-06-19T01:43:59,Eum ad quam magnam eius fugiat pariatur dolores.
14f94626-342f-4120-9125-f9e93e9a442a,58354a0c-5fc3-4531-85df-71708b8fdeac,29.3,BAIXO,LOCALIZACAO_DIVERGENTE,APROVAR,2026-04-09T00:55:04,Tenetur alias dolor aspernatur porro.
c46a1975-ba11-4667-a797-0ccb9d30d907,4b3746a2-da19-41d1-995f-efad888c1814,30.57,BAIXO,MULTIPLAS_TENTATIVAS,APROVAR,2026-05-02T17:00:11,Molestiae alias sed amet molestiae mollitia modi doloribus totam.
45592cac-fde7-4f12-ae61-841b8af5564b,71b6cae2-b2d3-4a74-891b-97a44ad346ca,44.93,MEDIO,MULTIPLAS_TENTATIVAS,APROVAR,2026-04-19T17:23:33,Expedita laudantium commodi aliquid assumenda quidem dolores officiis error.
78d2f869-de93-4cde-b20c-de2467f24bab,954261ee-464e-4450-a263-74628406dee1,46.42,MEDIO,MULTIPLAS_TENTATIVAS,REVISAR,2026-07-04T19:26:31,Omnis laudantium recusandae ipsam voluptatibus.
e48fe386-166f-4778-87d0-1a82e4126974,e264d6bb-c6f0-418e-9150-65db22207657,53.65,MEDIO,LOCALIZACAO_DIVERGENTE,BLOQUEAR,2026-07-02T01:26:36,Officiis sed natus beatae voluptate quis itaque.
